MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
R-H2.FRAC,"NUMB 5,4",CALC HYDROGEN,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-HE.FRAC,"NUMB 5,4",CALC HELIUM,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-C1.FRAC,"NUMB 5,4",CALC METHANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-C2.FRAC,"NUMB 5,4",CALC ETHANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-C3.FRAC,"NUMB 5,4",CALC PROPANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-IC4.FRAC,"NUMB 5,4",CALC ISO-BUTANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-NC4.FRAC,"NUMB 5,4",CALC N-BUTANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-IC5.FRAC,"NUMB 5,4",CALC ISO-PENTANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-NC5.FRAC,"NUMB 5,4",CALC N-PENTANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-C6.FRAC,"NUMB 5,4",CALC HEXANE,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
R-C7+.FRAC,"NUMB 5,4",CALC SUM OF GREATER THAN C6,"if [styp] (sample type) = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS COMPOSITION,GAN
RGHV.MJ/M3,"NUMB 4,2",CALC GROSS HEAT VALUE MOISTURE FREE,"if [styp] (sample type)  = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS PROPERTIES,GAN
RGHVA.MJ/M3,"NUMB 4,2",CALC GROSS HEAT VALUE MOISTURE & ACID GAS FREE,"if [styp] (sample type)  = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS PROPERTIES,GAN
RECOFLO.E3M3/D,"NUMB 13,4",RECOMBINED FLOWRATE 103M3/D,"if [styp] (sample type)  = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS PROPERTIES,GAN
RDGAS.,"NUMB 5,4",RELATIVE DENSITY,"if [styp] (sample type)  = (r)ecombination, then cannot be null.",,~ RECOMBINED GAS PROPERTIES,GAN
R-PPC.KPAA,"NUMB 8,2",PSEUDO CRITICAL PRESSURE,optional.,PPC of Recombined Sample - (kPaa),~ RECOMBINED GAS PROPERTIES,GAN
R-PTC.DEGK,"NUMB 5,2",PSEUDO CRITICAL TEMPERATURE,optional.,PTC of Recombined Sample - (Degree's Kelvin),~ RECOMBINED GAS PROPERTIES,GAN
PASTYPE.,CHAR 7,DIGITAL DATA - GRADIENT TEST DATA ,pas-grd,"Static Pressure Test, format.  This file is for the reporting of both ""Static"" Pressure measurements (Gradients, Acoustic Well Sounders, or Deadweight Tester) and ""Flowing"" Gradient well test data.",~ VERSION,GRD
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,GRD
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,GRD
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,GRD
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,GRD
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,GRD
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,GRD
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,GRD
WTYP.,CHAR 1,WELL TYPE INDICATOR ,"must be (v)ertical, (d)eviated or (h)orizontal","Flag indicating (V)ertical, (D)eviated, or (H)orizontal Wellbore",~ WELL INFORMATION,GRD
PACKER.,CHAR 1,PACKER INDICATOR FLAG,must = (y)es or (n)o.,"Flag indicating presence of packer (Y)es, (N)o",~ WELL INFORMATION,GRD
TULD.,CHAR 1,TUBING IN WELL,must = (y)es or (n)o.,Flag indicating Tubing in well (Y) or (N),~ WELL INFORMATION,GRD
AFLO.,CHAR 1,FLOW PATH,"must = (a)nnular, (c)asing, (t)ubing, or (b)oth casing and tubing.","Flag indicating flow path (A)nnular, (C)asing, (T)ubing, or (B)oth casing and tubing",~ WELL INFORMATION,GRD
TUBS.MM,"NUMB 4,1",INSIDE DIAMETER OF PRODUCTION TUBING,"optional, if present must be > 0.00",Inside diameter of production tubing (IF TULD=Y),~ WELL INFORMATION,GRD
PCID.MM,"NUMB 4,1",INSIDE DIAMETER OF PRODUCTION CASING,"optional, if present must be > 0.00 and must be > [tubs] and [ptod]",Inside diameter of production casing,~ WELL INFORMATION,GRD
PTOD.MM,"NUMB 4,1",OUTSIDE DIAMETER OF PRODUCTION TUBING ,"optional, if present must be > 0.00 and must be > [tubs]",Outside diameter of production tubing,~ WELL INFORMATION,GRD
PRPS.,CHAR 1,TEST PURPOSE ,"must be (i)nitial test, (a)nnual pressure, or (o)ther","(I)nitial or (A)nnual for fulfillment of Guide 40, Regulatory Testing Requirements. (O)ther indicates test conducted strictly for Licensee's own purpose, and which may not comply with a number of testing restrictions Please Note: Subsequent tests captured for Licensees own needs, but considered representative of the reservoirs (i.e. Stable and/or Interpreted), should be submitted as (A)nnual.",~ TEST DATA,GRD
SERCO.,CHAR 5,SERVICE COMPANY CODE,,Company conducting test (see AER Website),~ TEST DATA,GRD
TTYP.,CHAR 2 ,TEST TYPE CODE,"must be valid aer pas-grd well pressure test code (see footnote).  if [ttyp] (test type indicator) = 13, 23, or 33 then [prps] (test purpose indicator) must = (o)ther;  if [ttyp] = 10, [prps] cannot = (i)nitial.",,~ TEST DATA,GRD
H2SIND.,CHAR 1,H2S INDICATOR,must = (y)es or (n)one.,Flag indicating presence of H2S,~ TEST DATA,GRD
AWSVAL.,CHAR 1,AWS VALIDATION,"mandatory. if [ttyp] (test type indicator) = 10 and [prps] (test purpose indicator) = (a)nnual, then [awsval] must = (y)es.  if [ttyp] = 10 and [prps] = (o)ther, then [awsval] can be (y)es, (n)o, or null. if [ttyp] <> 10, [awsval] must be null.","Flag indicating whether Verification of Acoustic Method was undertaken and submitted (in this or previous test/image file - for this well), in accordance with AER Guide 40.",~ TEST DATA,GRD
TTOPL.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB.",~ TEST DATA,GRD
TBASL.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,GRD
TTOPT.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (TVD),"if [wtyp] (well type indicator) = (d)eviated or (h)orizontal,  then [ttopt] (interval top - tvd) must be <  [ttopl] (interval top - log), else if  [wtyp] = (v)ertical, then [ttopt] must = [ttopl]","Top of tested or producing interval - in true vertical depth, calculated mKB",~ TEST DATA,GRD
TBAST.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (TVD),"if [wtyp] (well type indicator) = (d)eviated or (h)orizontal,  then [tbast] (interval base - tvd) must be <  [tbasl] (interval base - log), else if  [wtyp] = (v)ertical, then [tbast] must = [tbasl]","Base of tested or producing interval  in true vertical depth, calculated mKB",~ TEST DATA,GRD
TISI.DAY/HR,YYYY MM DD HHHH,TIME/DATE WELL SHUT-IN,must be >= spud date but < [ftdt] (final test date and time) and the submission date,Date/time well shut-in for final BU/FO,~ TEST DATA,GRD
FTDT.DAY/HR,YYYY MM DD HHHH,FINAL TEST DATE/TIME,must be >= spud date and <= abandoned date and <= submission date,Date/time test ended,~ TEST DATA,GRD
TUPS.KPAA,"NUMB 8,2",INITIAL TUBING PRESSURE,"mandatory if [aflo] (flow path) = (t)ubing or (b)oth, and [ttyp] (test type indicator)  = (03) or (13), else can be null.",Tubing pressure at start of test (kPaa),~ TEST DATA,GRD
CSPS.KPAA,"NUMB 8,2",INITIAL CASING PRESSURE,"mandatory if [aflo] (flow path) = (a)nnular, (c)asing or (b)oth, and [ttyp] (test type indicator)  = (03) or (13), else can be null ",Casing pressure at start of test (kPaa),~ TEST DATA,GRD
FTUPS.KPAA,"NUMB 8,2",FINAL TUBING PRESSURE,"mandatory if [aflo] (flow path) = (t)ubing or (b)oth, and [ttyp] (test type indicator)  = (03) or (13), else can be null. ",Tubing pressure at end of test (kPaa),~ TEST DATA,GRD
FCSPS.KPAA,"NUMB 8,2",FINAL CASING PRESSURE,"mandatory if [aflo] (flow path) = (a)nnular, (c)asing or (b)oth, and [ttyp] (test type indicator)  = (03) or (13), else can be null ",Casing pressure at end of test (kPaa),~ TEST DATA,GRD
TSUR.DEGC,"NUMB 5,2",SURFACE TEMPERATURE,"mandatory, if [ttyp] (test type indicator) = (10), (23) or (33)",Temperature measured at wellhead during operations (DegC),~ TEST DATA,GRD
QGAS.E3M3/D,"NUMB 13,4",GAS PRODUCTION RATE PRIOR TO TEST,"mandatory, if [ttyp] (test type indicator) = (10). can be zero. can be negative, if an injection well.",,~ TEST DATA,GRD
QOIL.M3/D,"NUMB 13,4",OIL PRODUCTION RATE PRIOR TO TEST,"mandatory, if [ttyp] (test type indicator) = (10). can be zero. can be negative, if an injection well.",,~ TEST DATA,GRD
QWTR.M3/D,"NUMB 13,4",WATER PRODUCTION RATE PRIOR TO TEST,"mandatory, if [ttyp] (test type indicator) = (10). can be zero. can be negative, if an injection well.",,~ TEST DATA,GRD
GSERU.,CHAR 20,GAUGE SERIAL NUMBER USED IN SUMMARY,"mandatory, must be found in 1 raw data table",Serial number of gauge used to represent reservoir,~ PRESSURE RESULTS - SUMMARY,GRD
SDGAL.M,"NUMB 10,5",REPRESENTATIVE STOP DEPTH M CF (LOG),"mandatory, if [ttyp] (test type indicator) = 03","Closest Stop/Run Depth to MPP (Representative of Reservoir),  (mCF Log)",~ PRESSURE RESULTS - SUMMARY,GRD
SDGAT.M,"NUMB 10,5",REPRESENTATIVE STOP DEPTH M CF (TVD),"mandatory, if [ttyp] (test type indicator) = 03 and  [wtyp] (well type indicator) = (d)eviated or (h)orizontal, else must be null.",Gauge/Recorder depth (Calculated/Adjusted Depth) (in mCF TVD),~ PRESSURE RESULTS - SUMMARY,GRD
PRGA.KPAA,"NUMB 8,2",PRESSURE AT STOP DEPTH KPAA,"mandatory, if [ttyp] (test type indicator) = 03",Representative Pressure at SDGAL,~ PRESSURE RESULTS - SUMMARY,GRD
PRCOR.KPA,"NUMB 8,2",PRESSURE CORRECTION,"mandatory, if [ttyp] (test type indicator) = 03. can be zero. if [sdgal] is < [tbasl] or > [ttopl], then [prcor] can not be zero.",Pressure Differential from run depth to MPP used; negative values if run below MPP (kPa),~ PRESSURE RESULTS - SUMMARY,GRD
PRGC.,CHAR 240,COMMENT ON PRESSURE,optional,"Freeform comment of Pressure - (i.e. comparison to trend, offsets, shut-in time etc.) Data updates AER Pressure Summary Database.",~ PRESSURE RESULTS - SUMMARY,GRD
PLIND.,CHAR 1,PRIMARY LIQUID TYPE INDICATOR ,"mandatory, if [wsfl] (well fluid type at test date) = (01), (06) or (17).  must = (o)il, (w)ater, (c)rude bitumen, (e)mulsion or o(t)her. if present [plind] (primary liquid type indicator) <> [slind] (secondary liquid type indicator). ",Provide type of liquid encountered,~ PRESSURE RESULTS - SUMMARY,GRD
SLIND.,CHAR 1,SECONDARY LIQUID TYPE  INDICATOR,"mandatory, if [slgr] (secondary liquid gradient) > 0.00, otherwise it is optional. if present, must = (o)il, (w)ater, (c)rude bitumen, (e)mulsion, o(t)her, else must be null.  if present, [plind] (primary liquid type indicator) <> [slind] (secondary liquid type indicator).",Must provide secondary type of liquid if encountered,~ PRESSURE RESULTS - SUMMARY,GRD
GRGAS.KPA/M,"NUMB 5,3",GAS GRADIENT USED TO CORRECT TO LIQUID LEVEL OR LOG MPP,"mandatory, if [prps] (test purpose indicator) not = (o)ther; if [llvl] (liquid level - log) = 0, then [grgas] (gas gradient) can be zero otherwise it must be > 0.0001 and < 5.999",Estimated gradient of gas in wellbore (kPa/m),~ PRESSURE RESULTS - SUMMARY,GRD
GRLIQ.KPA/M,"NUMB 5,3",LIQUID GRADIENT USED TO CORRECT TO LOG MPP,"mandatory, if [prps] (test purpose indicator) not = (o)ther; if [plind] (primary liquid type indicator) present [grliq] (liquid gradient used to correct to mpp) is mandatory; if [plind]  = (o)il or (e)mulsion then [grliq]  must be > 1.5 and < 15.999; if [plind]  = (w)ater then [grliq]  must be > 9.500 and < 15.999",(kPa/m). ,~ PRESSURE RESULTS - SUMMARY,GRD
PLGR.KPA/M,"NUMB 5,3",PRIMARY LIQUID GRADIENT (LOG),"if [plind] (primary liquid type indicator) present, [plgr] (primary liquid gradient) is mandatory",,~ PRESSURE RESULTS - SUMMARY,GRD
SLGR.KPA/M,"NUMB 5,3",SECONDARY LIQUID GRADIENT (LOG),"if [slind] (secondary liquid type indicator) present, [slgr] (secondary liquid gradient) is mandatory",,~ PRESSURE RESULTS - SUMMARY,GRD
PSUR.KPAA,"NUMB 8,2",SURFACE PRESSURE,"mandatory, if [ttyp] (test type indicator) = 10, 23 or 33",Corresponding casing/surface pressure at that time (kPaa),~ PRESSURE RESULTS - SUMMARY,GRD
METHC.,CHAR 240,METHOD OF ACOUSTIC/DEAD WEIGHT TESTER EXTRAPOLATION COMMENT,"mandatory, if [ttyp] (test type indicator) = 10 or 33","Description for method of Acoustic / DWT calculation, in accordance with AER Guide 3 and Guide 5.",~ PRESSURE RESULTS - SUMMARY,GRD
LLVL.M,"NUMB 10,5",LIQUID LEVEL M CF (LOG),"mandatory, if [plind] (primary liquid type indicator) present, can be zero. must be null, if both [plind] and [slind] (secondary liquid type indicator) are null.","Calculated Length of Gas Column, as determined by wireline or interpreted by an Acoustic Shot - in LOG/measured depth (mCF). Note: For dry gas wells, Liquid Level (or Length of Gas Column) is to be reported equal to MPP or Null. A depth of zero will be interpreted as ""Liquid to Surface"".",~ PRESSURE RESULTS - SUMMARY,GRD
LLVT.M,"NUMB 10,5",LIQUID LEVEL M CF (TVD),"mandatory, if [plind] (primary liquid type indicator) present and if [wtyp] (well type indicator) = (d)eviated or (h)orizontal. can be zero. must be null, if both [plind] and [slind] (secondary liquid type indicator) are null.","Calculated Length of Gas Column (or liquid level) for each shot (TVD). As determined by wireline or interpreted by an Acoustic - in TVD depth, calculated mCF. Note: See [LLVL]",~ PRESSURE RESULTS - SUMMARY,GRD
PMPP.KPAA,"NUMB 8,2",CALCULATED PRESSURE CORRECTED TO MPP (LOG),mandatory. can not = 0,"Calculated pressure to mid-point of tested or producing interval - in log depth, measured mKB",~ PRESSURE RESULTS - SUMMARY,GRD
TRES.DEGC,"NUMB 5,2",RESERVOIR TEMPERATURE,,Reservoir temperature (DegC),~ PRESSURE RESULTS - SUMMARY,GRD
DPTS.,CHAR 1,ANNULAR DEPRESSION TEST INDICATOR,"mandatory, if [ttyp] (test type indicator) = 10 and [prps] (test purpose indicator) = (a)nnual. must be either (y)es or (n)o otherwise null.   ","Flag indicating whether or not an Annular Fluid/Foam Depression test was performed, in accordance with AER Guide 40. If DPTS = (Y). Data/information must be included within Image Attachment.",~ PRESSURE RESULTS - SUMMARY,GRD
SDGAL.M,"NUMB 10,5",STOP DEPTH M CF (LOG),"mandatory, if [ttyp] (test type indicator) = (03) or (13). at least 1 row in table must report a value not = zero",Gauge/Recorder depth (Measured Depth/LOG) in mCF,~ DATA TABLE - GRADIENT,GRD
SDGAT.M,"NUMB 10,5",STOP DEPTH M CF (TVD),"mandatory, if [ttyp] (test type indicator) = (03) or (13) mandatory and if [wtyp] (well type indicator) = (d)eviated or (h)orizontal , else must be null.",Gauge/Recorder depth (Calculated Depth/TVD) in mCF,~ DATA TABLE - GRADIENT,GRD
PRGA.KPAA,"NUMB 8,2",STOP PRESSURE KPAA,"mandatory, if [ttyp] (test type indicator) = (03) or (13)",Pressure measured at stop depth,~ DATA TABLE - GRADIENT,GRD
GRSDL.KPA/M,"NUMB 5,3",CALCULATED GRADIENT (LOG),"mandatory, if [ttyp] (test type indicator) = (03) or (13).  at least 1 row in table must report a value not = zero",Gradient calculated at stop depth,~ DATA TABLE - GRADIENT,GRD
GRSDT.KPA/M,"NUMB 5,3",CALCULATED GRADIENT (TVD),"mandatory, if [ttyp] (test type indicator) = (03) or (13) mandatory and if [wtyp] (well type indicator) = (d)eviated or (h)orizontal, else must be null.",,~ DATA TABLE - GRADIENT,GRD
TGA.DEGC,"NUMB 5,2",STOP TEMPERATURE,"mandatory, if [ttyp] (test type indicator) = (03) or (13). at least 1 row in table must report a value not = zero",Gauge temperature at each stop depth,~ DATA TABLE - GRADIENT,GRD
GSER.,CHAR 20,GAUGE SERIAL NUMBER ,one gauge must match [gseru] (gauge serial number used in summary),Serial or Reference number of Gauge/Recorder. Note: Number required for the ability to audit gauge data.,~ HEADER DATA - GAUGE (n),GRD
GTYPMM.,CHAR 90,GAUGE TYPE / MANUFACTURER / MODEL,"gauge type, manufacturer and model must be separated with slashes.","Type of gauge used (mechanical, electronic, model), name of manufacturer and model ",~ HEADER DATA - GAUGE (n),GRD
GRNG.KPAA,"NUMB 8,2",MAXIMUM RECORDER RANGE KPAA,,Full scale pressure range,~ HEADER DATA - GAUGE (n),GRD
GCAL.DAY,YYYY MM DD,DATE OF LAST CALIBRATION,must be < = [ftdt] (final test date/time),Date gauge last calibrated,~ HEADER DATA - GAUGE (n),GRD
GRES.,"NUMB 6,5",RESOLUTION % OF FULL-SCALE,,,~ HEADER DATA - GAUGE (n),GRD
GACC.,"NUMB 6,5",ACCURACY % OF FULL-SCALE ,,,~ HEADER DATA - GAUGE (n),GRD
GONB.DAY/HR/SS,YYYY MM DD HHHH:SS,DATE/TIME GAUGE ON BOTTOM,"mandatory, if [ttyp] (test type indicator) = (03) or (13). must be > spud date and < then [gofb] (gauge off bottom)",Date/time gauge on bottom,~ HEADER DATA - GAUGE (n),GRD
GOFB.DAY/HR/SS,YYYY MM DD HHHH:SS,DATE/TIME GAUGE OFF BOTTOM,"mandatory, if [ttyp] (test type indicator) = (03) or (13). must be > [gonb] (gauge on bottom) and <= [ftdt] (final test date/time)",Date/time gauge off bottom,~ HEADER DATA - GAUGE (n),GRD
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,must be >= spud date and <= abandoned date and <= submission date,24 Hour clock,~ DATA TABLE - GAUGE (n),GRD
TCUM.HR,"NUMB 10,5",GAUGE CUMULATIVE TIME,"mandatory, if [ttyp] (test type indicator) <> (10). can be zero.",Cumulative Time (hours),~ DATA TABLE - GAUGE (n),GRD
DGAL.M,"NUMB 10,5",DEPTH OF RECORDER M CF,"optional. if present, must be <= total depth of well","Continuous/Running or Stopped Depth of Gauge, (Measured Depth/LOG) in mCF",~ DATA TABLE - GAUGE (n),GRD
PRGA.KPAA,"NUMB 8,2",GAUGE PRESSURE KPAA,"mandatory, if [ttyp] (test type indicator) = 03.   if ([ftdt] - [tisi]) >= 14 days, no edit no error.    if < 14 days), then find {~pressure results  summary [prga] (pressure at stop depth)}, that matches last occurrence of {dtg (n) [prga] (pressure at stop depth)}. once found, use corresponding [time] (real time), go back a minimum of 2 hours and use corresponding [prga] (pressure at stop depth), subtract earliest pressure from latest and divide by number of hours,  if value <= 2.5 kpa/hr, ok, else error.",Pressure measured at that interval in time,~ DATA TABLE - GAUGE (n),GRD
TGA.DEGC,"NUMB 5,2",GAUGE TEMPERATURE DEGC,,Temperature measured at that interval in time,~ DATA TABLE - GAUGE (n),GRD
GCOM.,CHAR 240,GENERAL COMMENT,optional,"Comment on Gauge/Events (i.e. shut-in, open-to-flow, etc.)",~ DATA TABLE - GAUGE (n),GRD
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,"mandatory, if [ttyp] (test type indicator) = 10, must be >= spud date and <= abandoned date and <= submission date",24 Hour Clock,~ DATA TABLE - ACOUSTIC,GRD
LLVL.M,"NUMB 10,5",LIQUID LEVEL M CF (LOG),"mandatory if [ttyp] (pressure test type) = 10, can be zero. at least 1 occurrence of [llvl] must exist in table. (note: zero = fluid to surface)","Calculated Length of Gas Column, as determined by wireline or interpreted by an Acoustic Shot - in LOG/measured depth (mCF). Note: For dry gas wells, Liquid Level (or Length of Gas Column) is to be reported equal to MPP or Null. A depth of zero will be interpreted as ""Liquid to Surface"".",~ DATA TABLE - ACOUSTIC,GRD
PSUR.KPAA,"NUMB 8,2",SURFACE PRESSURE KPAA,"mandatory, if ([ttyp] (test type indicator) = 10. if ([ftdt] (final test date/time) - [tisi] (date/time well shut-in)) < 14 days) then [psur] (surface pressure) at the last real time in the table go back  2 hours and subtract the [psur] at that time) if value is <= 2.5 kpa/hr, ok,  else error.",,~ DATA TABLE - ACOUSTIC,GRD
PASTYPE.,CHAR 7,DIGITAL DATA - AOF/TRANSIENT TEST DATA ,pas-trg,"Transient Pressure and Injection/Deliverability Test, Format",~ VERSION,TRG
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,TRG
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,TRG
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,TRG
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,TRG
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,TRG
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,TRG
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"must have a valid aer fluid code = (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,TRG
WTYP.,CHAR 1,WELL TYPE INDICATOR ,"must be (v)ertical, (d)eviated or (h)orizontal","Flag indicating (V)ertical, (D)eviated, or (H)orizontal Wellbore",~ WELL INFORMATION,TRG
PACKER.,CHAR 1,PACKER INDICATOR FLAG,must be either (y)es or (n)o.,"Flag indicating presence of packer (Y)es, (N)o",~ WELL INFORMATION,TRG
TULD.,CHAR 1,TUBING IN WELL,must be either (y)es or (n)o.,Flag indicating Tubing in well (Y) or (N),~ WELL INFORMATION,TRG
AFLO.,CHAR 1,FLOW PATH,"must be either (a)nnular, (c)asing, (t)ubing, or (b)oth - casing and tubing.","Flag indicating flow path (A)nnular, (C)asing, (T)ubing, or (B)oth casing and tubing",~ WELL INFORMATION,TRG
TUBS.MM,"NUMB 4,1",INSIDE DIAMETER OF PRODUCTION TUBING,"mandatory, if [tuld] (tubing in well) = (y)es and [aflo] (flow path) = (t)ubing or (b)oth. if present must be < [ptod] (outside diameter of production tubing)",Inside diameter of production tubing,~ WELL INFORMATION,TRG
PCID.MM,"NUMB 4,1",INSIDE DIAMETER OF PRODUCTION CASING,"mandatory, if [aflo] (flow path) = (a)nnular, (c)asing or (b)oth. if present must be > 0.00 and < 350",Inside diameter of production casing,~ WELL INFORMATION,TRG
PTOD.MM,"NUMB 4,1",OUTSIDE DIAMETER PRODUCTION TUBING ,"mandatory, if [tuld] (tubing in well) = (y)es and [aflo] (flow path) = (a)nnular or (b)oth/casing and tubing. if present must be < [pcid] (inside diameter of production casing)",Outside diameter of production tubing,~ WELL INFORMATION,TRG
PRPS.,CHAR 1,TEST PURPOSE ,"test purpose flag must be (i)nitial test, (a)nnual pressure, or (o)ther","(I)nitial or (A)nnual for fulfillment of Guide 40, Regulatory Testing Requirements. (O)ther indicates test conducted strictly for Licensee's own purpose, and which may not comply with a number of testing restrictions Please Note: Subsequent tests captured for Licensees own needs, but considered representative of the reservoirs (i.e. Stable and/or Interpreted), should be submitted as (A)nnual. ",~ TEST DATA,TRG
SERCO.,CHAR 5,SERVICE COMPANY CODE,,Service or Wireline Company conducting test ,~ TEST DATA,TRG
H2SIND.,CHAR 1,H2S INDICATOR,must be (y)es or (n)o.,Flag indicating presence of Hydrogen Sulphide (H2S) gas,~ TEST DATA,TRG
INTRP.,CHAR 1,TEST INTERPRETATION PRESENT,"must be (y)es or (n)o.  if test purpose (i) initial and prsty = 50, then intrp must be (y) yes.",Flag indicating whether or not Transient Analysis or Test Interpretation was performed. Recommended plots for all tests are log-log plot with pressure derivative for flow regime identification and specialized plots for validation purposes.,~ TEST DATA,TRG
TTOPL.M,"NUMB 6,2",TEST/PROD INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,TRG
TBASL.M,"NUMB 6,2",TEST/PROD INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,TRG
TTOPT.M,"NUMB 6,2",TEST/PROD INTERVAL TOP M KB (TVD),"if [wtyp] (well type indicator) = (d)eviated or (h)orizontal,  then [ttopt] (interval top - tvd) must be <  [ttopl] (interval top - log), else if  [wtyp] = (v)ertical, then [ttopt] must = [ttopl]","Top of tested or producing interval - in true vertical depth, calculated mKB",~ TEST DATA,TRG
TBAST.M,"NUMB 6,2",TEST/PROD INTERVAL BASE M KB (TVD),"if [wtyp] (well type indicator) = (d)eviated or (h)orizontal,  then [tbast] (interval base - tvd) must be <  [tbasl] (interval base - log), else if  [wtyp] = (v)ertical, then [tbast] must = [tbasl]","Base of tested or producing interval  in true vertical depth, calculated mKB",~ TEST DATA,TRG
FTDT.DAY/HR,YYYY MM DD HHHH,FINAL TEST DATE/TIME,must be >= spud date and <= abandoned date and <= submission date,Date/time test ended,~ TEST DATA,TRG
TUPS.KPAA,"NUMB 8,2",INITIAL TUBING PRESSURE,"mandatory, if [aflo] (flow path) = (t)ubing or (b)oth and [prsty] (pressure test type) <> (34), else can be null.","Initial Tubing Pressure (kPaa): For Build-Ups tests, the pressure at end of flow (prior to shut-in). For Drawdown tests, the static pressure prior to flow",~ TEST DATA,TRG
CSPS.KPAA,"NUMB 8,2",INITIAL CASING PRESSURE,"mandatory, if [aflo] (flow path) = (a)nnular, (c)asing or (b)oth and [prsty] (pressure test type) <> (34), else can null.         ","Initial Casing Pressure (kPaa): For Build-Ups tests, the pressure at end of flow (prior to shut-in). For Drawdown tests, the static pressure prior to flow",~ TEST DATA,TRG
